time,records_inserted,latency_ms
2026-02-27 13:15:39,810,121.42
2026-02-27 13:15:44,610,120.73
2026-02-27 13:15:49,700,113.49
2026-02-27 13:15:54,800,130.58
2026-02-27 13:15:59,500,159.88
2026-02-27 13:16:04,640,115.26
2026-02-27 13:16:09,850,118.08
2026-02-27 13:16:14,640,139.52
2026-02-27 13:16:19,670,119.27
2026-02-27 13:16:24,690,100.49
2026-02-27 13:16:29,910,113.38
2026-02-27 13:16:34,560,149.0
2026-02-27 13:16:39,690,113.26
2026-02-27 13:16:44,720,117.6
2026-02-27 13:16:49,680,132.72
2026-02-27 13:16:54,630,138.73
2026-02-27 13:16:59,710,114.2
2026-02-27 13:17:04,760,118.19
2026-02-27 13:17:09,680,128.64
2026-02-27 13:17:14,690,104.13
2026-02-27 13:17:19,640,144.58
2026-02-27 13:17:24,720,124.75
2026-02-27 13:17:29,710,103.36
2026-02-27 13:17:34,800,122.77
2026-02-27 13:17:39,570,143.14
2026-02-27 13:17:44,640,121.48
2026-02-27 13:17:49,890,114.72
2026-02-27 13:17:54,580,145.38
2026-02-27 13:17:59,690,120.82
2026-02-27 13:18:04,730,95.02
2026-02-27 13:18:09,790,130.12
2026-02-27 13:18:14,800,108.93
2026-02-27 13:18:19,610,118.42
2026-02-27 13:18:24,810,115.7
2026-02-27 13:18:29,620,133.84
2026-02-27 13:18:34,700,119.1
2026-02-27 13:18:39,720,102.53
2026-02-27 13:18:44,720,130.25
2026-02-27 13:18:49,510,139.91
2026-02-27 13:18:54,900,115.06
2026-02-27 13:18:59,460,179.65
2026-02-27 13:19:04,440,161.64
2026-02-27 13:19:09,670,143.34
2026-02-27 13:19:14,650,130.02
2026-02-27 13:19:19,710,115.55
2026-02-27 13:19:24,900,106.97
2026-02-27 13:19:29,710,110.43
2026-02-27 13:19:34,660,128.53
2026-02-27 13:19:39,770,100.61
2026-02-27 13:19:44,870,104.16
2026-02-27 13:19:49,610,126.35
2026-02-27 13:19:54,710,126.11
2026-02-27 13:19:59,650,117.59
2026-02-27 13:20:04,840,119.28
2026-02-27 13:20:09,680,119.51
2026-02-27 13:20:14,650,120.18
2026-02-27 13:20:19,810,116.18
2026-02-27 13:20:24,540,155.49
2026-02-27 13:20:29,720,120.26
2026-02-27 13:20:34,780,103.52
2026-02-27 13:20:39,540,147.28
2026-02-27 13:20:44,740,124.66
2026-02-27 13:20:49,730,114.48
2026-02-27 13:20:54,750,127.15
2026-02-27 13:20:59,680,130.27
2026-02-27 13:21:04,600,111.78
2026-02-27 13:21:09,790,133.32
2026-02-27 13:21:14,500,149.51
2026-02-27 13:21:19,680,125.73
2026-02-27 13:21:24,750,121.6
2026-02-27 13:21:29,750,123.98
2026-02-27 13:21:34,590,124.64
2026-02-27 13:21:39,680,147.21
2026-02-27 13:21:44,510,149.46
2026-02-27 13:21:49,870,101.64
2026-02-27 13:21:54,790,105.9
2026-02-27 13:21:59,760,122.24
2026-02-27 13:22:04,540,122.63
2026-02-27 13:22:09,890,106.18
2026-02-27 13:22:14,760,117.32
2026-02-27 13:22:19,670,129.94
2026-02-27 13:22:24,640,122.0
2026-02-27 13:22:29,850,102.49
2026-02-27 13:22:34,720,115.91
2026-02-27 13:22:39,600,144.22
2026-02-27 13:22:44,710,113.16
2026-02-27 13:22:49,880,110.26
2026-02-27 13:22:54,540,145.99
2026-02-27 13:22:59,660,117.75
2026-02-27 13:23:04,790,118.33
2026-02-27 13:23:09,680,119.07
2026-02-27 13:23:14,610,126.27
2026-02-27 13:23:19,800,118.07
2026-02-27 13:23:24,710,132.1
2026-02-27 13:23:29,640,129.34
2026-02-27 13:23:34,590,106.6
2026-02-27 13:23:39,910,124.67
2026-02-27 13:23:44,610,128.3
2026-02-27 13:23:49,670,121.29
2026-02-27 13:23:54,730,109.91
2026-02-27 13:23:59,680,147.99
2026-02-27 13:24:04,770,106.12
2026-02-27 13:24:09,650,121.29
2026-02-27 13:24:14,670,137.58
2026-02-27 13:24:19,580,139.55
2026-02-27 13:24:24,750,105.05
2026-02-27 13:24:29,720,143.78
2026-02-27 13:24:34,590,122.92
2026-02-27 13:24:39,690,96.85
2026-02-27 13:24:44,830,139.57
2026-02-27 13:24:49,560,136.3
2026-02-27 13:24:54,740,122.55
2026-02-27 13:24:59,770,107.29
2026-02-27 13:25:04,700,133.89
2026-02-27 13:25:09,620,122.98
2026-02-27 13:25:14,740,101.03
2026-02-27 13:25:19,760,129.76
2026-02-27 13:25:24,560,129.09
2026-02-27 13:25:29,740,109.13
2026-02-27 13:25:34,790,134.37
2026-02-27 13:25:39,640,126.46
2026-02-27 13:25:44,740,121.55
2026-02-27 13:25:49,680,123.77
2026-02-27 13:25:54,560,135.21
2026-02-27 13:25:59,760,106.1
2026-02-27 13:26:04,730,109.07
2026-02-27 13:26:09,710,147.14
2026-02-27 13:26:14,660,127.91
2026-02-27 13:26:19,780,104.03
2026-02-27 13:26:24,590,148.33
2026-02-27 13:26:29,750,127.58
2026-02-27 13:26:34,740,101.02
2026-02-27 13:26:39,720,122.86
2026-02-27 13:26:44,550,144.91
2026-02-27 13:26:49,710,107.43
2026-02-27 13:26:54,750,129.46
2026-02-27 13:26:59,650,140.27
2026-02-27 13:27:04,790,107.45
2026-02-27 13:27:09,680,108.42
2026-02-27 13:27:14,670,143.56
2026-02-27 13:27:19,690,123.67
2026-02-27 13:27:24,620,108.75
2026-02-27 13:27:29,760,127.21
2026-02-27 13:27:34,720,125.28
2026-02-27 13:27:39,630,99.51
2026-02-27 13:27:44,870,122.14
2026-02-27 13:27:49,560,134.17
2026-02-27 13:27:54,640,128.19
2026-02-27 13:27:59,840,113.31
2026-02-27 13:28:04,720,129.37
2026-02-27 13:28:09,550,147.64
2026-02-27 13:28:14,750,107.49
2026-02-27 13:28:19,670,132.71
2026-02-27 13:28:24,720,137.8
2026-02-27 13:28:29,650,109.4
2026-02-27 13:28:34,670,128.94
2026-02-27 13:28:39,560,151.38
2026-02-27 13:28:44,800,92.76
2026-02-27 13:28:49,800,120.79
2026-02-27 13:28:54,650,136.65
2026-02-27 13:28:59,700,111.46
2026-02-27 13:29:04,720,106.54
2026-02-27 13:29:09,720,148.19
2026-02-27 13:29:14,600,121.32
2026-02-27 13:29:19,850,114.97
2026-02-27 13:29:24,510,145.82
2026-02-27 13:29:29,710,124.4
2026-02-27 13:29:34,680,108.48
2026-02-27 13:29:39,830,111.23
2026-02-27 13:29:44,740,113.06
2026-02-27 13:29:49,610,117.99
2026-02-27 13:29:54,900,114.6
2026-02-27 13:29:59,620,126.18
2026-02-27 13:30:04,610,122.13
2026-02-27 13:30:09,810,122.34
2026-02-27 13:30:14,760,109.72
2026-02-27 13:30:19,630,126.43
2026-02-27 13:30:24,670,120.79
2026-02-27 13:30:29,780,107.64
2026-02-27 13:30:34,730,128.17
2026-02-27 13:30:39,700,124.62
2026-02-27 13:30:44,760,112.34
2026-02-27 13:30:49,750,106.57
2026-02-27 13:30:54,600,133.51
2026-02-27 13:30:59,760,108.33
2026-02-27 13:31:04,730,108.33
2026-02-27 13:31:09,750,127.51
2026-02-27 13:31:14,660,125.82
2026-02-27 13:31:19,630,106.24
2026-02-27 13:31:24,790,127.43
2026-02-27 13:31:29,620,129.78
2026-02-27 13:31:34,720,136.95
2026-02-27 13:31:39,780,95.16
2026-02-27 13:31:44,710,141.3
2026-02-27 13:31:49,720,114.94
2026-02-27 13:31:54,510,103.75
2026-02-27 13:31:59,740,142.44
2026-02-27 13:32:04,800,107.49
2026-02-27 13:32:09,650,123.57
2026-02-27 13:32:14,680,124.6
2026-02-27 13:32:19,720,133.1
2026-02-27 13:32:24,750,105.19
2026-02-27 13:32:29,760,101.33
2026-02-27 13:32:34,680,143.15
2026-02-27 13:32:39,720,115.24
2026-02-27 13:32:44,700,104.31
2026-02-27 13:32:49,860,107.96
2026-02-27 13:32:54,470,163.42
2026-02-27 13:32:59,650,114.05
2026-02-27 13:33:04,400,227.13
2026-02-27 13:33:09,420,216.08
2026-02-27 13:33:14,210,312.83
2026-02-27 13:33:19,510,283.25
2026-02-27 13:33:24,380,199.56
2026-02-27 13:33:29,260,324.52
2026-02-27 13:33:34,450,234.59
2026-02-27 13:33:39,400,228.09
2026-02-27 13:33:44,280,248.93
2026-02-27 13:33:49,530,228.39
2026-02-27 13:33:54,210,336.09
2026-02-27 13:33:59,400,260.05
2026-02-27 13:34:04,400,241.2
2026-02-27 13:34:09,280,268.78
2026-02-27 13:34:14,420,266.88
2026-02-27 13:34:19,320,195.57
2026-02-27 13:34:24,230,392.43
2026-02-27 13:34:29,570,241.96
2026-02-27 13:34:34,310,242.53
2026-02-27 13:34:39,290,297.41
2026-02-27 13:34:44,330,253.36
2026-02-27 13:34:49,330,243.9
2026-02-27 13:34:54,430,324.32
2026-02-27 13:34:59,440,174.09
2026-02-27 13:35:04,250,320.37
2026-02-27 13:35:09,380,284.6
2026-02-27 13:35:14,480,218.94
2026-02-27 13:35:19,200,335.89
2026-02-27 13:35:24,420,252.74
2026-02-27 13:35:29,300,184.03
2026-02-27 13:35:34,270,371.89
2026-02-27 13:35:39,440,277.25
2026-02-27 13:35:44,470,237.84
2026-02-27 13:35:49,270,324.41
2026-02-27 13:35:54,460,189.41
2026-02-27 13:35:59,270,283.7
2026-02-27 13:36:04,310,319.42
2026-02-27 13:36:09,500,218.66
2026-02-27 13:36:14,250,298.68
2026-02-27 13:36:19,290,266.65
2026-02-27 13:36:24,430,241.26
2026-02-27 13:36:29,380,285.1
2026-02-27 13:36:34,330,272.01
2026-02-27 13:36:39,300,304.04
2026-02-27 13:36:44,330,301.84
2026-02-27 13:36:49,290,202.53
2026-02-27 13:36:54,520,242.09
2026-02-27 13:36:59,290,334.91
2026-02-27 13:37:04,290,232.71
2026-02-27 13:37:09,410,255.5
2026-02-27 13:37:14,260,300.52
2026-02-27 13:37:19,430,267.9
2026-02-27 13:37:24,280,187.45
2026-02-27 13:37:29,430,329.32
2026-02-27 13:37:34,430,207.3
2026-02-27 13:37:39,300,268.92
2026-02-27 13:37:44,350,303.43
2026-02-27 13:37:49,470,217.36
2026-02-27 13:37:54,80,358.69
2026-02-27 13:37:59,430,331.25
2026-02-27 13:38:04,420,243.68
2026-02-27 13:38:09,270,289.39
2026-02-27 13:38:14,380,249.98
2026-02-27 13:38:19,400,230.12
2026-02-27 13:38:24,280,325.64
2026-02-27 13:38:29,440,246.56
2026-02-27 13:38:34,270,193.83
2026-02-27 13:38:39,270,334.9
2026-02-27 13:38:44,610,241.47
2026-02-27 13:38:49,260,292.97
