date,time,cpu_tot,cpu,cpu_usr,cpu_sys,mem_tot,mem_vsz,mem_rss,net_in,net_out
2026-03-01,15:35:41,8.000,4.355,1.002,3.353,17179869184.0,11489037516.8,677275238.4,269169459.2,84829798.4
2026-03-01,15:35:42,8.000,4.344,1.072,3.272,17179869184.0,11489037516.8,677275238.4,316460236.8,92169830.4
2026-03-01,15:35:43,8.000,4.423,1.052,3.371,17179869184.0,11489037516.8,677380096.0,305764761.6,84724940.8
2026-03-01,15:35:44,8.000,4.314,1.198,3.116,17179869184.0,11489037516.8,677380096.0,279550361.6,58825113.6
2026-03-01,15:35:45,8.000,3.893,0.975,2.918,17179869184.0,11489037516.8,677380096.0,197551718.4,16882073.6
2026-03-01,15:35:46,8.000,4.555,1.172,3.383,17179869184.0,11489037516.8,677380096.0,286366105.6,67528294.4
2026-03-01,15:35:47,8.000,4.639,1.398,3.241,17179869184.0,11489037516.8,677380096.0,281752371.2,84410368.0
2026-03-01,15:35:48,8.000,4.150,1.205,2.945,17179869184.0,11489037516.8,679372390.4,285946675.2,90911539.2
2026-03-01,15:35:49,8.000,4.333,1.010,3.322,17179869184.0,11596411699.2,681364684.8,269169459.2,86507520.0
2026-03-01,15:35:50,8.000,4.417,1.155,3.262,17179869184.0,11596411699.2,681469542.4,273783193.6,85773516.8
2026-03-01,15:35:51,8.000,4.224,1.002,3.222,17179869184.0,11596411699.2,681469542.4,286680678.4,38063308.8
2026-03-01,15:35:52,8.000,4.339,1.354,2.985,17179869184.0,11596411699.2,681469542.4,281647513.6,50017075.2
2026-03-01,15:35:53,8.000,4.650,1.157,3.493,17179869184.0,11596411699.2,681469542.4,351797248.0,84410368.0
2026-03-01,15:35:54,8.000,6.364,3.749,2.615,17179869184.0,11596411699.2,683461836.8,185073664.0,84305510.4
2026-03-01,15:35:55,8.000,4.557,1.324,3.233,17179869184.0,11596411699.2,683461836.8,278292070.4,84410368.0
2026-03-01,15:35:56,8.000,4.354,1.047,3.308,17179869184.0,11596411699.2,687656140.8,278082355.2,90072678.4
2026-03-01,15:35:57,8.000,4.346,1.306,3.039,17179869184.0,11596411699.2,687656140.8,357878988.8,45193625.6
2026-03-01,15:35:58,8.000,4.459,1.283,3.175,17179869184.0,11596411699.2,687656140.8,353789542.4,12897484.8
2026-03-01,15:35:59,8.000,3.414,0.889,2.525,17179869184.0,11596411699.2,687656140.8,224395264.0,83361792.0
2026-03-01,15:36:00,8.000,4.451,1.011,3.441,17179869184.0,11596411699.2,687656140.8,261619712.0,89758105.6
2026-03-01,15:36:01,8.000,4.283,1.085,3.198,17179869184.0,11596411699.2,687656140.8,231945011.2,83990937.6
2026-03-01,15:36:02,8.000,4.854,1.430,3.424,17179869184.0,11596411699.2,689753292.8,325897420.8,84829798.4
2026-03-01,15:36:03,8.000,3.555,0.898,2.657,17179869184.0,11596411699.2,691116441.6,189372825.6,84305510.4
2026-03-01,15:36:04,8.000,4.450,1.179,3.271,17179869184.0,11596411699.2,690172723.2,282066944.0,17196646.4
2026-03-01,15:36:05,8.000,4.335,0.993,3.342,17179869184.0,11596411699.2,696464179.2,278921216.0,67318579.2
2026-03-01,15:36:06,8.000,4.284,1.074,3.210,17179869184.0,11596411699.2,696464179.2,265289728.0,81474355.2
2026-03-01,15:36:07,8.000,4.123,1.042,3.081,17179869184.0,11596411699.2,696464179.2,273468620.8,93637836.8
2026-03-01,15:36:08,8.000,4.317,1.092,3.225,17179869184.0,11596411699.2,696464179.2,278187212.8,85773516.8
2026-03-01,15:36:09,8.000,4.028,1.274,2.754,17179869184.0,11596411699.2,698561331.2,285946675.2,89443532.8
2026-03-01,15:36:10,8.000,3.566,1.011,2.555,17179869184.0,11596411699.2,698561331.2,273888051.2,18035507.2
2026-03-01,15:36:11,8.000,4.061,1.128,2.933,17179869184.0,11703785881.6,702755635.2,294649856.0,33869004.8
2026-03-01,15:36:12,8.000,3.976,0.786,3.190,17179869184.0,11596411699.2,702755635.2,193462272.0,84620083.2
2026-03-01,15:36:13,8.000,4.084,1.055,3.029,17179869184.0,11596411699.2,702755635.2,290979840.0,84200652.8
2026-03-01,15:36:14,8.000,4.502,1.140,3.362,17179869184.0,11703785881.6,702755635.2,358822707.2,84620083.2
2026-03-01,15:36:15,8.000,4.021,1.185,2.836,17179869184.0,11703785881.6,702755635.2,223346688.0,84305510.4
2026-03-01,15:36:16,8.000,4.387,1.018,3.369,17179869184.0,11703785881.6,702755635.2,286680678.4,50855936.0
2026-03-01,15:36:17,8.000,4.900,1.360,3.540,17179869184.0,11703785881.6,702755635.2,273992908.8,33764147.2
2026-03-01,15:36:18,8.000,4.496,1.061,3.435,17179869184.0,11703785881.6,706949939.2,261724569.6,84620083.2
2026-03-01,15:36:19,8.000,4.423,1.097,3.327,17179869184.0,11703785881.6,706949939.2,274307481.6,94057267.2
2026-03-01,15:36:20,8.000,4.718,1.716,3.003,17179869184.0,11703785881.6,706949939.2,273468620.8,85039513.6
2026-03-01,15:36:21,8.000,4.460,1.235,3.226,17179869184.0,11703785881.6,706949939.2,358088704.0,85144371.2
2026-03-01,15:36:22,8.000,3.944,1.029,2.915,17179869184.0,11703785881.6,706949939.2,237292748.8,72456601.6
2026-03-01,15:36:23,8.000,5.042,1.956,3.086,17179869184.0,11703785881.6,706949939.2,286470963.2,17406361.6
2026-03-01,15:36:24,8.000,5.688,3.064,2.624,17179869184.0,11703785881.6,706949939.2,277872640.0,50960793.6
2026-03-01,15:36:25,8.000,2.372,0.612,1.760,17179869184.0,11703785881.6,706949939.2,138726604.8,88185241.6
2026-03-01,15:36:26,8.000,3.491,1.188,2.304,17179869184.0,11703785881.6,708942233.6,152987238.4,90596966.4
2026-03-01,15:36:27,8.000,5.142,1.369,3.774,17179869184.0,11703785881.6,708942233.6,343408640.0,86612377.6
2026-03-01,15:36:28,8.000,4.267,1.049,3.219,17179869184.0,11703785881.6,708942233.6,303143321.6,83466649.6
2026-03-01,15:36:29,8.000,4.008,1.148,2.860,17179869184.0,11703785881.6,708942233.6,265394585.6,34917580.8
2026-03-01,15:36:30,8.000,4.226,1.034,3.192,17179869184.0,11703785881.6,708942233.6,273992908.8,33869004.8
2026-03-01,15:36:31,8.000,4.145,0.903,3.243,17179869184.0,11703785881.6,708942233.6,273573478.4,84620083.2
2026-03-01,15:36:32,8.000,3.443,0.906,2.538,17179869184.0,11703785881.6,708942233.6,197656576.0,93742694.4
2026-03-01,15:36:33,8.000,4.398,1.276,3.122,17179869184.0,11703785881.6,709571379.2,286366105.6,86088089.6
