date,time,rIOPS,wIOPS,r_per_s,w_per_s,used,free,total
2026-03-01,15:35:49,760.0,4795.0,97936998.4,1395864371.2,50251117363.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:50,815.0,3513.0,103913881.6,1503238553.6,50787988275.2,21880281392742.4,21990232555520.0
2026-03-01,15:35:51,455.0,1197.0,57147392.0,770283929.6,51432233369.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:52,433.0,3251.0,55259955.2,1395864371.2,52076478464.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:53,792.0,1142.0,102760448.0,678533529.6,52720723558.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:54,764.0,7686.0,99405004.8,1288490188.8,53150220288.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:55,770.0,3773.0,100243865.6,1181116006.4,53794465382.4,21880281392742.4,21990232555520.0
2026-03-01,15:35:56,774.0,1437.0,100034150.4,924110028.8,54438710476.8,21880281392742.4,21990232555520.0
2026-03-01,15:35:57,533.0,6657.0,66060288.0,1395864371.2,55190329753.6,21880281392742.4,21990232555520.0
2026-03-01,15:35:58,221.0,3410.0,25585254.4,1717986918.4,55834574848.0,21880281392742.4,21990232555520.0
2026-03-01,15:35:59,734.0,3405.0,92484403.2,1503238553.6,56478819942.4,21880281392742.4,21990232555520.0
2026-03-01,15:36:00,773.0,970.0,100453580.8,640155648.0,57015690854.4,21880281392742.4,21990232555520.0
2026-03-01,15:36:01,772.0,3673.0,100453580.8,1503238553.6,57552561766.4,21880281392742.4,21990232555520.0
2026-03-01,15:36:02,789.0,1035.0,102236160.0,672346931.2,58196806860.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:03,807.0,2645.0,97936998.4,1181116006.4,58733677772.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:04,280.0,1271.0,29884416.0,640365363.2,59270548684.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:05,607.0,2019.0,76441190.4,1067450368.0,59807419596.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:06,792.0,1756.0,100768153.6,1073741824.0,60451664691.2,21880281392742.4,21990232555520.0
2026-03-01,15:36:07,776.0,3214.0,99614720.0,1181116006.4,60988535603.2,21880281392742.4,21990232555520.0
2026-03-01,15:36:08,762.0,3816.0,98671001.6,1395864371.2,61632780697.6,21880281392742.4,21990232555520.0
2026-03-01,15:36:09,787.0,1764.0,100977868.8,1181116006.4,62277025792.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:10,291.0,3129.0,35441868.8,1181116006.4,62813896704.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:11,334.0,1081.0,41943040.0,713975398.4,63350767616.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:12,767.0,2985.0,97622425.6,1288490188.8,63995012710.4,21880281392742.4,21990232555520.0
2026-03-01,15:36:13,764.0,1921.0,96888422.4,1181116006.4,64639257804.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:14,801.0,3269.0,99929292.8,1181116006.4,65176128716.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:15,765.0,3477.0,96573849.6,1395864371.2,65820373811.2,21880281392742.4,21990232555520.0
2026-03-01,15:36:16,506.0,1083.0,65011712.0,683147264.0,66464618905.6,21880281392742.4,21990232555520.0
2026-03-01,15:36:17,382.0,4616.0,47081062.4,1825361100.8,67108864000.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:18,785.0,983.0,98671001.6,621281280.0,67645734912.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:19,785.0,4334.0,98146713.6,1395864371.2,68182605824.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:20,785.0,968.0,99090432.0,669515776.0,68826850918.4,21880281392742.4,21990232555520.0
2026-03-01,15:36:21,834.0,3991.0,104543027.2,1717986918.4,69471096012.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:22,723.0,1545.0,91750400.0,820405862.4,70115341107.2,21880281392742.4,21990232555520.0
2026-03-01,15:36:23,256.0,9593.0,31037849.6,1610612736.0,70759586201.6,21880281392742.4,21990232555520.0
2026-03-01,15:36:24,475.0,1565.0,59139686.4,846934835.2,71403831296.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:25,668.0,4949.0,86612377.6,1395864371.2,71940702208.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:26,739.0,3811.0,93008691.2,1503238553.6,72584947302.4,21880281392742.4,21990232555520.0
2026-03-01,15:36:27,839.0,868.0,106325606.4,661966028.8,73229192396.8,21880281392742.4,21990232555520.0
2026-03-01,15:36:28,739.0,3013.0,93532979.2,1610612736.0,73980811673.6,21880281392742.4,21990232555520.0
2026-03-01,15:36:29,470.0,2704.0,58405683.2,1503238553.6,74517682585.6,21880281392742.4,21990232555520.0
2026-03-01,15:36:30,361.0,920.0,45613056.0,649487974.4,75054553497.6,21880281392742.4,21990232555520.0
2026-03-01,15:36:31,749.0,3304.0,96573849.6,1288490188.8,75698798592.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:32,756.0,852.0,96154419.2,612263526.4,76235669504.0,21880281392742.4,21990232555520.0
2026-03-01,15:36:33,811.0,1782.0,102550732.8,1181116006.4,76879914598.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:34,806.0,3039.0,100243865.6,1181116006.4,77416785510.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:35,703.0,3177.0,89128960.0,1395864371.2,78061030604.8,21770330229964.8,21990232555520.0
2026-03-01,15:36:36,322.0,1828.0,37853593.6,1073741824.0,78705275699.2,21770330229964.8,21990232555520.0
2026-03-01,15:36:37,518.0,3585.0,64592281.6,1395864371.2,79349520793.6,21770330229964.8,21990232555520.0
2026-03-01,15:36:38,457.0,2612.0,57776537.6,1395864371.2,79993765888.0,21770330229964.8,21990232555520.0
2026-03-01,15:36:39,395.0,803.0,48129638.4,667104051.2,80530636800.0,21770330229964.8,21990232555520.0
2026-03-01,15:36:40,503.0,3061.0,62809702.4,1503238553.6,81174881894.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:41,374.0,1921.0,47081062.4,1066401792.0,81819126988.8,21770330229964.8,21990232555520.0
2026-03-01,15:36:42,270.0,1802.0,32610713.6,1061578342.4,82355997900.8,21770330229964.8,21990232555520.0
2026-03-01,15:36:43,520.0,1539.0,61970841.6,1073741824.0,83000242995.2,21770330229964.8,21990232555520.0
2026-03-01,15:36:44,369.0,3057.0,46347059.2,1288490188.8,83644488089.6,21770330229964.8,21990232555520.0
2026-03-01,15:36:45,407.0,3127.0,49807360.0,1503238553.6,84181359001.6,21770330229964.8,21990232555520.0
2026-03-01,15:36:46,459.0,933.0,55993958.4,702021632.0,84825604096.0,21770330229964.8,21990232555520.0
2026-03-01,15:36:47,492.0,3156.0,61865984.0,1288490188.8,85469849190.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:48,454.0,1815.0,56203673.6,1181116006.4,86006720102.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:49,550.0,6134.0,66270003.2,1288490188.8,86543591014.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:50,794.0,797.0,99614720.0,635751628.8,87187836108.8,21770330229964.8,21990232555520.0
2026-03-01,15:36:51,776.0,2213.0,99719577.6,1288490188.8,87724707020.8,21770330229964.8,21990232555520.0
2026-03-01,15:36:52,332.0,4572.0,38273024.0,1288490188.8,88368952115.2,21770330229964.8,21990232555520.0
2026-03-01,15:36:53,287.0,7333.0,33659289.6,1395864371.2,89013197209.6,21770330229964.8,21990232555520.0
2026-03-01,15:36:54,514.0,938.0,62390272.0,704852787.2,89550068121.6,21770330229964.8,21990232555520.0
2026-03-01,15:36:55,538.0,2440.0,64592281.6,1395864371.2,90194313216.0,21770330229964.8,21990232555520.0
2026-03-01,15:36:56,525.0,8798.0,64067993.6,1073741824.0,90838558310.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:57,308.0,3111.0,38902169.6,1288490188.8,91375429222.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:58,455.0,762.0,57566822.4,668152627.2,91912300134.4,21770330229964.8,21990232555520.0
2026-03-01,15:36:59,409.0,1676.0,48863641.6,1073741824.0,92556545228.8,21770330229964.8,21990232555520.0
2026-03-01,15:37:00,515.0,3105.0,63438848.0,1288490188.8,93200790323.2,21770330229964.8,21990232555520.0
2026-03-01,15:37:01,406.0,3005.0,48549068.8,1288490188.8,93737661235.2,21770330229964.8,21990232555520.0
2026-03-01,15:37:02,473.0,936.0,57461964.8,584895692.8,94274532147.2,21770330229964.8,21990232555520.0
2026-03-01,15:37:03,570.0,3244.0,61131980.8,1610612736.0,94918777241.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:04,288.0,1132.0,34707865.6,653367705.6,95455648153.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:05,484.0,3248.0,63019417.6,1395864371.2,95992519065.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:06,395.0,3246.0,48758784.0,1503238553.6,96636764160.0,21770330229964.8,21990232555520.0
2026-03-01,15:37:07,402.0,718.0,47395635.2,616772403.2,97173635072.0,21770330229964.8,21990232555520.0
2026-03-01,15:37:08,640.0,2154.0,79482060.8,1181116006.4,97817880166.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:09,772.0,2792.0,97622425.6,1181116006.4,98354751078.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:10,717.0,1869.0,89548390.4,1395864371.2,99106370355.2,21770330229964.8,21990232555520.0
2026-03-01,15:37:11,413.0,3005.0,51799654.4,1288490188.8,99750615449.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:12,340.0,2978.0,44145049.6,1503238553.6,100502234726.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:13,477.0,5173.0,60397977.6,1717986918.4,101146479820.8,21770330229964.8,21990232555520.0
2026-03-01,15:37:14,415.0,1504.0,49178214.4,993735475.2,101898099097.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:15,385.0,3617.0,47710208.0,1503238553.6,102542344192.0,21770330229964.8,21990232555520.0
2026-03-01,15:37:16,389.0,1566.0,47290777.6,1051092582.4,103186589286.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:17,455.0,2683.0,55364812.8,1073741824.0,103723460198.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:18,463.0,1579.0,56203673.6,784754278.4,104367705292.8,21770330229964.8,21990232555520.0
2026-03-01,15:37:19,511.0,6132.0,64382566.4,1395864371.2,105011950387.2,21770330229964.8,21990232555520.0
2026-03-01,15:37:20,504.0,4300.0,63124275.2,1288490188.8,105656195481.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:21,511.0,3095.0,62704844.8,1503238553.6,106407814758.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:22,296.0,4213.0,35022438.4,1503238553.6,107052059852.8,21770330229964.8,21990232555520.0
2026-03-01,15:37:23,555.0,957.0,68157440.0,719427993.6,107696304947.2,21770330229964.8,21990232555520.0
2026-03-01,15:37:24,472.0,1857.0,58300825.6,1181116006.4,108340550041.6,21770330229964.8,21990232555520.0
2026-03-01,15:37:25,548.0,4248.0,67108864.0,1395864371.2,108984795136.0,21770330229964.8,21990232555520.0
2026-03-01,15:37:26,307.0,2820.0,37958451.2,1288490188.8,109521666048.0,21770330229964.8,21990232555520.0
2026-03-01,15:37:27,263.0,2208.0,30932992.0,1181116006.4,110165911142.4,21770330229964.8,21990232555520.0
2026-03-01,15:37:28,274.0,3155.0,31037849.6,1288490188.8,110810156236.8,21770330229964.8,21990232555520.0
2026-03-01,15:37:29,331.0,3265.0,39321600.0,1395864371.2,111454401331.2,21770330229964.8,21990232555520.0
