datetime,insert_total,insert_original,insert_duplicate,insert_avg_latency_ms,query_count,query_failed,query_avg_latency_ms
2026-03-01 11:55:57,440,348,92,94.62,1590,0,62.84
2026-03-01 11:56:02,780,622,158,97.52,1440,0,69.05
2026-03-01 11:56:07,1020,770,250,106.24,1570,0,63.72
2026-03-01 11:56:12,440,190,250,64.71,1380,0,72.86
2026-03-01 11:56:17,700,588,112,132.52,1456,0,68.73
2026-03-01 11:56:22,1020,830,190,73.87,1496,0,66.67
2026-03-01 11:56:27,640,442,198,54.07,1368,0,72.41
2026-03-01 11:56:32,400,300,100,80.16,1564,0,64.62
2026-03-01 11:56:37,980,758,222,110.09,1400,0,70.94
2026-03-01 11:56:42,780,602,178,112.99,1492,0,66.91
2026-03-01 11:56:47,780,530,250,114.84,1448,0,69.42
2026-03-01 11:56:52,680,430,250,75.45,1358,0,73.22
2026-03-01 11:56:57,700,668,32,65.53,1306,0,77.25
2026-03-01 11:57:02,840,622,218,67.54,1432,0,69.78
2026-03-01 11:57:07,640,390,250,58.76,1576,0,63.28
2026-03-01 11:57:12,460,448,12,147.23,1530,0,65.51
2026-03-01 11:57:17,700,462,238,118.09,1530,0,65.33
2026-03-01 11:57:22,740,490,250,136.79,1406,0,70.91
2026-03-01 11:57:27,740,568,172,124.3,1394,0,71.45
2026-03-01 11:57:32,980,790,190,85.64,1120,0,88.73
2026-03-01 11:57:37,700,562,138,58.84,1440,0,70.61
2026-03-01 11:57:42,620,370,250,54.71,1362,0,71.57
2026-03-01 11:57:47,360,360,0,59.76,1440,0,70.3
2026-03-01 11:57:52,900,650,250,133.89,1510,0,66.69
2026-03-01 11:57:57,520,308,212,129.68,1520,0,65.88
2026-03-01 11:58:02,680,642,38,127.5,1418,0,70.41
2026-03-01 11:58:07,1000,750,250,101.29,1228,0,80.57
2026-03-01 11:58:12,660,410,250,59.45,1274,0,79.23
2026-03-01 11:58:17,680,448,232,58.18,1268,0,78.39
2026-03-01 11:58:22,860,750,110,58.94,1476,0,68.34
2026-03-01 11:58:27,440,282,158,140.08,1584,0,62.56
2026-03-01 11:58:32,920,670,250,87.07,1302,0,76.28
2026-03-01 11:58:37,320,320,0,127.46,1584,0,63.74
2026-03-01 11:58:42,940,690,250,121.9,1296,0,77.49
2026-03-01 11:58:47,860,610,250,103.07,1252,0,79.58
2026-03-01 11:58:52,660,428,232,60.04,1386,0,72.7
2026-03-01 11:58:57,740,722,18,53.93,1414,0,70.19
2026-03-01 11:59:02,500,250,250,133.45,1578,0,63.55
2026-03-01 11:59:07,960,710,250,69.06,1412,0,70.25
2026-03-01 11:59:12,620,568,52,117.18,1428,0,70.29
2026-03-01 11:59:17,440,242,198,110.97,1340,0,75.23
2026-03-01 11:59:22,840,590,250,131.11,1214,0,81.78
2026-03-01 11:59:27,840,668,172,67.98,1386,0,72.09
2026-03-01 11:59:32,640,562,78,51.47,1472,0,68.21
2026-03-01 11:59:37,540,290,250,141.02,1520,0,65.85
2026-03-01 11:59:42,980,730,250,74.36,1274,0,78.65
2026-03-01 11:59:47,620,620,0,60.86,1540,0,64.06
2026-03-01 11:59:52,660,410,250,116.11,1480,0,68.08
2026-03-01 11:59:57,600,388,212,146.69,1492,0,67.0
2026-03-01 12:00:02,920,750,170,70.49,1182,0,84.0
2026-03-01 12:00:07,600,482,118,49.04,1352,0,75.05
2026-03-01 12:00:12,620,370,250,57.03,1230,0,80.04
2026-03-01 12:00:17,420,420,0,82.8,1476,0,68.25
2026-03-01 12:00:22,1100,850,250,99.22,1452,0,69.41
2026-03-01 12:00:27,440,210,230,113.34,1470,0,66.76
2026-03-01 12:00:32,660,640,20,105.2,1168,0,84.43
2026-03-01 12:00:37,640,390,250,102.3,1346,0,76.62
2026-03-01 12:00:42,820,570,250,87.2,1202,0,82.85
2026-03-01 12:00:47,600,568,32,57.27,1278,0,77.48
2026-03-01 12:00:52,560,342,218,61.45,1386,0,73.23
2026-03-01 12:00:57,620,408,212,158.87,1600,0,62.06
2026-03-01 12:01:02,680,642,38,77.75,1336,0,75.27
2026-03-01 12:01:07,480,230,250,180.0,1326,0,75.26
2026-03-01 12:01:12,660,608,52,164.39,1214,0,81.9
2026-03-01 12:01:17,1020,770,250,95.24,1400,0,71.16
2026-03-01 12:01:22,700,502,198,63.41,1178,0,84.32
2026-03-01 12:01:27,760,510,250,56.42,1308,0,78.13
2026-03-01 12:01:32,580,488,92,115.32,1438,0,68.22
2026-03-01 12:01:37,700,542,158,112.58,1476,0,68.63
2026-03-01 12:01:42,500,250,250,139.06,1414,0,70.93
2026-03-01 12:01:47,540,540,0,169.61,1316,0,76.14
2026-03-01 12:01:52,1040,790,250,74.03,1182,0,84.38
2026-03-01 12:01:57,640,390,250,101.32,1168,0,82.59
2026-03-01 12:02:02,640,488,152,57.67,1242,0,82.39
2026-03-01 12:02:07,460,362,98,63.81,1344,0,72.33
2026-03-01 12:02:12,800,550,250,91.98,1422,0,72.55
2026-03-01 12:02:17,640,588,52,111.69,1492,0,67.38
2026-03-01 12:02:22,660,462,198,122.74,1528,0,65.54
2026-03-01 12:02:27,880,630,250,77.77,1246,0,80.06
2026-03-01 12:02:32,660,410,250,62.34,1412,0,70.76
2026-03-01 12:02:37,760,748,12,72.38,1376,0,72.54
2026-03-01 12:02:42,660,422,238,95.02,1470,0,68.0
2026-03-01 12:02:47,540,328,212,151.43,1486,0,67.31
2026-03-01 12:02:52,620,570,50,109.62,1456,0,68.73
2026-03-01 12:02:57,800,562,238,141.13,1444,0,68.93
2026-03-01 12:03:02,900,650,250,67.08,1234,0,81.68
2026-03-01 12:03:07,640,468,172,53.07,1260,0,79.19
2026-03-01 12:03:12,600,522,78,51.43,1322,0,74.42
2026-03-01 12:03:17,660,410,250,59.85,1324,0,76.9
2026-03-01 12:03:22,420,420,0,157.81,1438,0,67.4
2026-03-01 12:03:27,720,470,250,113.92,1380,0,75.16
2026-03-01 12:03:32,740,510,230,144.78,1352,0,72.59
2026-03-01 12:03:37,640,620,20,152.72,1424,0,71.06
2026-03-01 12:03:42,980,730,250,62.02,1370,0,71.82
2026-03-01 12:03:47,580,330,250,56.0,1136,0,89.42
2026-03-01 12:03:52,760,510,250,52.76,1462,0,68.75
2026-03-01 12:03:57,500,500,0,63.53,1574,0,62.83
2026-03-01 12:04:02,820,570,250,98.93,1430,0,70.63
2026-03-01 12:04:07,540,408,132,118.29,1338,0,74.8
2026-03-01 12:04:12,820,702,118,131.8,1336,0,73.28
2026-03-01 12:04:17,480,230,250,171.9,1424,0,71.24
2026-03-01 12:04:22,920,670,250,73.82,1136,0,88.43
2026-03-01 12:04:27,560,560,0,68.48,1236,0,80.31
2026-03-01 12:04:32,560,310,250,67.16,1124,0,89.27
2026-03-01 12:04:37,520,520,0,171.54,1466,0,67.49
2026-03-01 12:04:42,660,410,250,80.37,1204,0,84.09
2026-03-01 12:04:47,400,308,92,179.05,1650,0,60.61
2026-03-01 12:04:52,1120,790,330,108.64,1146,0,86.29
2026-03-01 12:04:57,480,402,78,73.24,1216,0,83.43
2026-03-01 12:05:02,880,630,250,112.19,1024,0,97.6
2026-03-01 12:05:07,560,468,92,69.28,1248,0,80.15
2026-03-01 12:05:12,560,402,158,58.37,1230,0,80.09
2026-03-01 12:05:17,680,430,250,73.78,1396,0,72.54
2026-03-01 12:05:22,400,400,0,52.56,1384,0,71.46
2026-03-01 12:05:27,800,550,250,139.82,1376,0,73.35
2026-03-01 12:05:32,720,470,250,85.28,1218,0,81.94
2026-03-01 12:05:37,820,748,72,98.83,1196,0,83.72
2026-03-01 12:05:42,540,362,178,60.54,1208,0,82.42
2026-03-01 12:05:47,600,388,212,55.33,1248,0,79.32
2026-03-01 12:05:52,600,562,38,54.17,1272,0,79.96
2026-03-01 12:05:57,520,270,250,99.7,1270,0,78.61
2026-03-01 12:06:02,760,668,92,97.23,1376,0,72.39
2026-03-01 12:06:07,580,422,158,128.55,1334,0,71.81
2026-03-01 12:06:12,680,430,250,76.39,1166,0,89.46
2026-03-01 12:06:17,680,648,32,60.38,1224,0,81.16
2026-03-01 12:06:22,560,342,218,66.48,1000,0,99.29
2026-03-01 12:06:27,640,408,232,74.46,1286,0,77.98
2026-03-01 12:06:32,600,582,18,61.09,1392,0,72.49
2026-03-01 12:06:37,440,230,210,123.06,1290,0,77.4
2026-03-01 12:06:42,620,580,40,79.09,1178,0,85.53
2026-03-01 12:06:47,460,210,250,137.5,1356,0,73.5
2026-03-01 12:06:52,820,648,172,140.03,1188,0,82.69
2026-03-01 12:06:57,720,642,78,68.21,1236,0,80.5
2026-03-01 12:07:02,620,370,250,60.89,1204,0,84.58
2026-03-01 12:07:07,700,488,212,60.4,1274,0,79.03
2026-03-01 12:07:12,480,442,38,70.14,1454,0,68.49
2026-03-01 12:07:17,960,710,250,96.82,1378,0,72.64
2026-03-01 12:07:22,420,268,152,123.98,1424,0,69.66
2026-03-01 12:07:27,620,522,98,100.97,1374,0,73.31
2026-03-01 12:07:32,1000,750,250,102.87,1374,0,72.21
2026-03-01 12:07:37,560,310,250,53.85,1242,0,81.48
2026-03-01 12:07:42,680,680,0,49.89,1306,0,76.39
2026-03-01 12:07:47,480,230,250,56.49,1404,0,71.4
2026-03-01 12:07:52,560,520,40,141.08,1526,0,65.33
2026-03-01 12:07:57,720,510,210,156.2,1462,0,67.82
2026-03-01 12:08:02,460,308,152,143.32,1106,0,91.17
2026-03-01 12:08:07,680,582,98,161.53,1460,0,68.24
2026-03-01 12:08:12,760,510,250,97.72,1168,0,86.02
2026-03-01 12:08:17,980,730,250,101.63,1134,0,87.67
2026-03-01 12:08:22,440,428,12,78.01,1024,0,83.93
